ID,Name,Description,ColumnSpec
future,FUTURE,,
love,'love',,
completive,COMPLETIVE,,
do,'do',,
perfectaspect,PERFECT (ASPECT),,
copula,COPULA,,
indefinite,INDEFINITE,,
irrealis,IRREALIS,,
past,PAST,,
durative,DURATIVE,,
comitative,COMITATIVE,,
possess,'possess',,
subordinator,SUBORDINATOR,,
time,'time',,
one,'one',,
want,'want',,
evidentialreported,"EVIDENTIAL, REPORTED",,
say,'say',,
other,OTHER,,
same,SAME,,
only,ONLY,,
proverb,PRO-VERB,,
causative,CAUSATIVE,,
verificative,VERIFICATIVE,,
see,'see',,
pronounnegation,"PRONOUN, NEGATION",,
also,ALSO,,
collectivenumeral,COLLECTIVE NUMERAL,,
iterative,ITERATIVE,,
behind,BEHIND,,
reflexive,REFLEXIVE,,
body,'body',,
allative,ALLATIVE,,
arrive,'arrive',,
epossibility,E-POSSIBILITY,,
find,'find',,
ordinalnumeral,ORDINAL NUMERAL,,
plural,PLURAL,,
peopleworld,"'people, world'",,
habitual,HABITUAL,,
dnecessity,D-NECESSITY,,
nominalizer,NOMINALIZER,,
definite,DEFINITE,,
relativizer,RELATIVIZER,,
person,'person',,
progressive,PROGRESSIVE,,
changeofstate,CHANGE-OF-STATE,,
come,'come',,
go,'go',,
leave,'leave',,
sit,'sit',,
take,'take',,
upspatial,UP (SPATIAL),,
head,'head',,
backbodypart,'back (body part)',,
evidential,EVIDENTIAL,,
dpossibility,D-POSSIBILITY,,
singulativenumber,SINGULATIVE (NUMBER),,
futurenear,"FUTURE, NEAR",,
benefactive,BENEFACTIVE,,
conditionalconjunction,CONDITIONAL (CONJUNCTION),,
hortative,HORTATIVE,,
already,'already',,
finish,'finish',,
moveforward,'move forward',,
return,'return',,
remain,'remain',,
eventually,'eventually',,
separateescape,"'separate, escape'",,
abstractpostposition,ABSTRACT POSTPOSITION,,
hand,'hand',,
ablativetemporal,ABLATIVE (TEMPORAL),,
comefrom,'come from',,
agentcase,AGENT (CASE),,
between,BETWEEN,,
waistmiddle,"'waist, middle'",,
inspatial,IN (SPATIAL),,
belly,'belly',,
frontcase,FRONT (CASE),,
eyeface,"'eye', 'face'",,
causeconjunction,CAUSE (CONJUNCTION),,
cause,'cause',,
similativeconjunction,SIMILATIVE (CONJUNCTION),,
diminutive,DIMINUTIVE,,
child,'child',,
limit,'limit',,
prohibitive,PROHIBITIVE,,
reach,'reach',,
beequal,'be equal',,
pipossibility,PI-POSSIBILITY,,
indefinitepronounnegative,"INDEFINITE PRONOUN, NEGATIVE",,
kind,'kind',,
female,FEMALE,,
woman,'woman',,
male,MALE,,
man,'man',,
hpossessive,H-POSSESSIVE,,
personalpronoun,PERSONAL PRONOUN,,
owner,'owner',,
reciprocalpronoun,RECIPROCAL (PRONOUN),,
thelikeof,'the like of',,
indefinitepronoun,INDEFINITE PRONOUN,,
thing,'thing',,
mouth,'mouth',,
imminence,IMMINENCE,,
beforetemporal,BEFORE (TEMPORAL),,
temporalmarker,TEMPORAL MARKER,,
applicative,APPLICATIVE,,
patientcase,PATIENT (CASE),,
perfective,PERFECTIVE,,
concessiveconjunction,CONCESSIVE (CONJUNCTION),,
imperfective,IMPERFECTIVE,,
egressive,EGRESSIVE,,
liedown,'lie down',,
untilcaseconjunction,UNTIL (CASE/CONJUNCTION),,
equivalent,'equivalent',,
sidecase,SIDE (CASE),,
side,'side',,
complementizer,COMPLEMENTIZER,,
