ID,Language_ID,Name,Description
1,abyanei,Gram: kVm-,FUTURE
2,africanamericanvernacularenglish,Gram: done,COMPLETIVE Aspect
3,aghul,"Gram: -naa, -naja, -na a, -na aa, -na aja",PERFECT
4,aghul,"Gram: q-, qa-, qu-, qi",REPETITIVE
5,aghul,Gram: (-j) aq'-,CONTINUOUS
6,aghul,Gram: -qaj,COMITATIVE
7,aghul,Gram: (a)q'as,CAUSATIVE aux
8,aghul,"Gram: -guna, -gana, -guni",general TEMPORAL suffix ('converb')
9,aghul,Gram: sa,(narrative) INDEFINITE ARTICLE
10,aghul,Gram: jči(n),INDEFINITE Pronoun marker
11,aghul,Gram: kːanči꞊ra,INDEFINITE Pronoun ('free choice') marker
12,aghul,Gram: -ʁaj,hearsay EVIDENTIALITY
13,aghul,Gram: sa,EXHAUSTIVE (discourse) particle ('only')
14,aghul,Gram: -sij,IRREALIS
15,aghul,Gram: =ra,negative Pronoun marker
16,aghul,Gram: ꞊ra,"marker for ""COLLECTIVE"" numerals"
17,aghul,Gram: sara,'other'
18,aghul,Gram: sa,'same'
19,aghul,Gram: (a)q'as,Pro-Verb (in Topicalization)
20,aghul,"Gram: -čug-, -čuk'-, -čuq'-",VERIFICATIVE
21,aghul,Gram: -ne,AORIST
22,angolar,Gram: onge,REFLEXIVE
23,archi,Gram: χos,PROBABILITY (PRESUMPTIVE) aux
24,archi,Gram: -bosdub,derivational marker for ordinal numerals
25,archi,Gram: -kː-,VERIFICATIVE
26,archi,Gram: eq'en,ALLATIVE postposition
27,awadhi,Gram: log,PLURAL marker for animates
28,ayacuchoquechua,Gram: -q ka,HABITUAL (compound tense)
29,ayacuchoquechua,Gram: -na,DEONTIC construction
30,ayacuchoquechua,Gram: huk,'other'
31,bactrian,Gram: i,DEFINITE article
32,balantak,Gram: men,RELATIVIZER
33,balochi,"Gram: āy-, āt",CHANGE-OF-STATE (vector verb for starting of an action)
34,balochi,Gram: V(INF)-ā ã,PROGRESSIVE
35,balochi,Gram: šut,CHANGE-OF-STATE (vector verb for initiating an action)
36,balochi,Gram: išt,COMPLETIVE (vector verb)
37,balochi,Gram: nešt,COMPLETIVE (vector verb)
38,balochi,"Gram: zūr-, zīr- / zurt, zūrt",COMPLETIVE (vector verb for physical transfer)
39,balochi,Gram: guš-ī,EVIDENTIAL (say.PRS-3SG)
40,balochi,Gram: šī,EVIDENTIAL (say.PRS.3SG)
41,balochi,Gram: V(INF)-ī int,OBLIGATION
42,balochi,Gram: (b-)il,PERMISSIVE (IRR-leave.IMP2SG)
43,balochi,Gram: lōṭ-,NECESSITY
44,balochi,Gram: =ē,SINGULATIVE (individuation marker)
45,balochi,Gram: sar,up' (adposition)
46,balochi,Gram: pušt,BEHIND (adposition)
47,balochi,Gram: V(INF)-ī ą,FUTURE
48,balochieastern,Gram: šuθ,CHANGE-OF-STATE (vector verb for INTRANSITIVEs)
49,balochiwestern,Gram: guš-an(t),EVIDENTIAL (say.PRS-3PL)
50,balochiwestern,"Gram: āy-, āt (ki)",PROSPECTIVE (IMMEDIATE FUTURE)
51,bambara,Gram: yé,COMPLETIVE predicative marker in TRANSITIVE constructions
52,bambara,Gram: bán,'already' (particle in postverbal position)
53,bambara,Gram: sín,INCHOATIVE aux
54,bambara,Gram: sègín,REPETITIVE aux
55,bambara,Gram: tó,CONTINUATIVE/HABITUAL aux
56,bambara,Gram: tílá,aux meaning 'eventually'
57,bambara,Gram: bóló,"under the responsibility of', 'in the personal sphere of' (postposition)"
58,bambara,Gram: kà bɔ́,preposition 'starting from'
59,bambara,Gram: bóló,AGENT (postposition)
60,bambara,Gram: lá-,CAUSATIVE (prefix (indirect causation))
61,bambara,Gram: bìlá,PERMISSIVE CAUSATION aux
62,bambara,Gram: sání,TEMPORAL SUBORDINATOR
63,bambara,Gram: ní,SUBORDINATOR 'if'
64,bambara,Gram: sábú,CAUSAL SUBORDINATOR 'because'
65,bambara,Gram: ko,SIMILE
66,bambara,Gram: dɔ́,INDEFINITE (determiner)
67,bambara,Gram: dǎn,'only'
68,bambara,Gram: kélén,'alone' (adnominal particle)
69,bambara,Gram: kélén,only (adnominal particle)
70,bambara,Gram: mùsó,FEMALE (derivational suffix)
71,bambara,Gram: -kɛ,MALE (derivational suffix)
72,bambara,Gram: ká,HORTATIVE/SUBJUNCTIVE modal markers
73,bambara,Gram: kànâ,PROHIBITIVE marker
74,bambara,Gram: sé,POSSIBILITY MODAL aux
75,bambara,Gram: kán,OBLIGATION MODAL aux
76,bambara,Gram: sé,ABILITY (aux verb)
77,bambara,Gram: sí,"DETERMINER in negative sense 'nothing, none'"
78,bambara,Gram: dɔ́,'other'
79,bambara,Gram: kélén,'same'
80,bambara,Gram: -nin,DIMINUTIVE (derivational suffix)
81,bambara,Gram: bóló,H-POSSESSIVE (postposition 'at' + LOC COP)
82,bambara,Gram: à tìgî,emphatic third person PRONOUN ('the person in question')
83,bambara,Gram: ɲɔ́gɔ́n,RECIPROCAL PRONOUN
84,bambara,Gram: dɔ́,INDEFINITE PRONOUN
85,bambara,Gram: féŋóofèŋ,INDEFINITE PRONOUN
86,bambara,Gram: kǔn,SPATIAL postposition 'on'
87,bambara,Gram: cɛ́,SPATIAL postposition 'between'
88,bambara,Gram: kɔ́,"TEMPORAL/SPATIAL postposition 'behind','after'"
89,bambara,Gram: kɔ́nɔ́,SPATIAL postposition 'in'
90,bambara,Gram: ɲɛ́,"SPATIAL postposition 'in front of', 'before'"
91,bambara,Gram: kà táa,preposition 'until'
92,bambara,Gram: ná,FUTURE
93,bambara,Gram: kàbíní,"TEMPORAL SUBORDINATOR 'when', 'since'"
94,bambara,Gram: ɲíní,"IMMINENCE aux 'come close to, be about to'"
95,bardi,Gram: jina,COPULA (POSSESSIVE)
96,bardi,Gram: -ng(a),COMITATIVE APPLICATIVE
97,bataviacreole,Gram: dja,PERFECTIVE
98,bataviacreole,Gram: kung,ACCUSATIVE/DATIVE marker
99,beja,Gram: -ani,"""V2-conjugation"" marker (IMPERFECTIVE)"
100,beja,Gram: =wa,PERFECT
101,beja,Gram: ak,PERFECT
102,beja,Gram: harʔa baj,phasal CONTINUATIVE aspect
103,beja,Gram: bʔa,phasal TERMINATIVE aux
104,beja,Gram: (=eːb) hadiːd,until'
105,beja,Gram: (=eːb) oː=kiːk,until'
106,beja,Gram: geːb,next to' (SPATIAL postposition)
107,beja,Gram: na,COMPLEMENTIZER (mostly: REL.F + the thing)
108,beja,Gram: =hoːb,TEMPORAL marker 'when'
109,beja,Gram: doːr,TEMPORAL marker 'when'
110,beja,Gram: =uːk,CONDITIONAL (doubt)
111,beja,Gram: =eːk,CONCESSION
112,beja,Gram: dhaːj,PURPOSE SUBORDINATOR
113,beja,Gram: mi-jaːd,PURPOSE
114,beja,Gram: dʔi-,Emphatic constructions
115,beja,Gram: -ni:n,Emphatic constructions
116,beja,Gram: -d-,INTENTION
117,beja,"Gram: ø, jʔ",POSSIBILITY
118,beja,Gram: rib,CONTRASTIVE NEGATION aux
119,beja,Gram: (i=)kna(=ji),adnominal INTENSIFIER
120,beja,Gram: (i=)kna,adverbial INTENSIFIER (for predicate or entire phrase)
121,beja,Gram: han,polar QUESTION marker
122,beja,"Gram: hoːk, =hoːk",INTENSIFIER
123,beja,Gram: eːn,DISCOURSE marker (for the end of discursive unit in narratives and poetry)
124,beja,Gram: (i=)kna,attributive POSSESSION marker
125,beja,Gram: baruːk,'you (SG)' (personal PRONOUN)
126,beja,Gram: gali,INDEFINITE PRONOUN
127,beja,Gram: naː,question words
128,beja,Gram: =t,RELATIVIZER
129,beja,Gram: ti=,RELATIVIZER
130,beja,Gram: w= + =e:b,RELATIVIZER
131,beja,Gram: ʔas,aux 'upwards'
132,beja,Gram: o:n mari(-i),Centripetal Movement (lit. 'in our direction')
133,beja,Gram: beːti,SPATIAL postposition 'towards' (ALLATIVE)
134,beja,Gram: di,FUTURE aux
135,beja,Gram: gad,IMMEDIATE FUTURE
136,beja,Gram: hi,APPLICATIVE marker
137,bhojpuri,Gram: t̩ho,CLASSIFIER
138,bhojpuri,Gram: man,PLURAL marker for animates
139,bhojpuri,Gram: sab,PLURAL marker for inanimates
140,bhojpuri,Gram: bāt̩,PRESENT
141,bhojpuri,Gram: rahnā,PAST ('IMPERFECT')
142,bislama,Gram: finis,COMPLETIVE Aspect
143,bolivianquechua,Gram: tiya-,"EXISTENTIAL ('to be', 'to live')"
144,brazilianportuguese,Gram: viver,HABITUAL
145,budugh,Gram: vowel change in stem (low back V to high front V),CAUSATIVE
146,bulgarian,Gram: da,IRREALIS marker (verbal proclitic)
147,bulgarian,Gram: šte,FUTURE aux/PARTICLE
148,catalan,Gram: acabar,COMPLETIVE (aux)
149,catalan,Gram: anar,ANDATIVE
150,catalan,Gram: ir,PAST
151,cherokee,Gram: t(a)-,FUTURE
152,chorasmian,Gram: =k,POTENTIAL (particle)
153,creolese,Gram: matii,RECIPROCAL
154,croatianserbian,Gram: da,COMPLEMENTIZER
155,croatianserbian,Gram: nemoj,PROHIBITIVE aux
156,czech,Gram: dostat,recipient PASSIVE
157,dakhinihindi,Gram: āpan,PERSONAL PRONOUN (1 person inclusive)
158,dakhinihindi,Gram: bolke,QUOTATIVE marker
159,dakhinihindi,Gram: so,RELATIVIZER
160,diuindoportuguese,Gram: pə,DATIVE marker
161,diuindoportuguese,Gram: tud,PLURAL
162,diuindoportuguese,Gram: del,POSSESSIVE PRONOUN
163,earlyjudeopersian,Gram: be-,FUTURE
164,earlysranan,Gram: de,PROGRESSIVE
165,eastkhantic,Gram: -na,ERGATIVE case
166,ecuadorianquichua,Gram: -gri-,purpose of motion (associated motion)
167,emai,Gram: gbe,against' ('momentary impact')
168,emai,Gram: rɛ,CAUSATIVE
169,emai,Gram: khì,('correlative') conjunction
170,emai,Gram: ɔ̀kpá,exhaustive (discourse) particle ('only')
171,emai,Gram: ɔ́mɔ̀hè,MALE
172,emai,Gram: òkpòsò,FEMALE
173,emai,Gram: degbè,carefully
174,emai,Gram: dabɔ̀,deliberately'
175,emai,Gram: fee ghoo,"try, feign, pretend' ('cancel event occurence')"
176,emai,Gram: ba kun,in vain' (deactivate event fulfilment: adverbial)
177,emai,Gram: zemi,a lot' ('absolute quantitative intensification')
178,emai,Gram: gɔn,against' ('oblique contact')
179,emai,Gram: khuan,onto' ('suspended attachment')
180,emai,Gram: gbe,'too much' ('excessive quantitive achievement')
181,emai,Gram: dobɔ̀,emphatic subject REFLEXIVE
182,emai,Gram: ɔ̀kpá,'same'
183,emai,Gram: égbè,RECIPROCAL PRONOUN
184,emai,Gram: u,Pro-Verb
185,emai,Gram: émì,INDEFINITE Pro
186,emai,Gram: òtɔ̀ì,(on the) bottom of'
187,emai,Gram: baa,(on)to/against' ('affixed attachment')
188,emai,Gram: re,VENITIVE
189,emai,Gram: so,to the end/top' ('terminal achievement'; postverbal)
190,emai,Gram: úhùnmì,'up'
191,emai,Gram: ɛ́kɛ́ìn,inside'
192,emai,Gram: ye,DATIVE/ALLATIVE marker/prep.
193,emai,Gram: ze,"in, into' ('inclusive attachment')"
194,emai,Gram: égbè,REFLEXIVE PRONOUN
195,emai,Gram: gba,together' ('COLLECTIVE')
196,estonian,Gram: =ga,COMITATIVE
197,estonian,Gram: -va(-t),"""oblique mood"" (EVIDENTIAL)"
198,even,"Gram: -w,-u,-bu",POSSESSIVE AGREEMENT (here: 1SG)
199,even,Gram: -m,(Verbal) Subject AGREEMENT (here: 1SG)
200,even,Gram: -d'-,PROGRESSIVE
201,even,Gram: -du,DATIVE-LOCATIVE
202,even,Gram: -gi.li,COMITATIVE ('by the side of')
203,even,Gram: -gA,DESIGNATIVE Case
204,even,Gram: -wkAn,CAUSATIVE
205,even,Gram: -ndu,numeral CLASSIFIER
206,even,Gram: -sči-,DESIDERATIVE
207,even,Gram: -dA,(distant) IMPERATIVE
208,even,Gram: ba-,MODALITY marker (‚not want')
209,even,Gram: -l,PLURAL
210,even,Gram: -k(A),PREVENTIVE
211,even,Gram: noŋan,3SG PRONOUN
212,even,Gram: -ne-,VENTIVE
213,even,Gram: -lA,LOCATIVE
214,even,Gram: -d'i-,FUTURE
215,even,"Gram: -w-, -m-",PASSIVE voice
216,evenki,Gram: -soo-,ATTENUATIVE
217,finnish,Gram: -mpa,COMPARATIVE
218,finnish,Gram: saa(-kka),postposition 'until'
219,finnish,Gram: -i,CONDITIONAL mood
220,finnish,Gram: yksi,INDEFINITE article
221,finnish,Gram: < -' >,IMPERATIVE (2SG)
222,finnish,Gram: lie-,POTENTIALIS
223,finnish,Gram: =kO,INTERROGATION
224,finnish,Gram: -ssA (?),INESSIVE case
225,finnish,"Gram: -ta-, -t.ta-",VERBALIZER
226,finnish,"Gram: -a, -ä",INFINITIVE marker
227,finnish,Gram: -ke-,Deriving Adj from Verbals
228,french,Gram: allons,HORTATIVE (invariable) (1st person plural)
229,french,Gram: on,INDEFINITE PRONOUN
230,garhwali,Gram: le/-l,ERGATIVE case marker
231,garhwali,Gram: bal,QUOTATIVE marker
232,garhwali,"Gram: bāt̩i, bāt̩",ABLATIVE
233,german,Gram: zu,PURPOSE preposition
234,german,Gram: dass,COMPLEMENTIZER (with finite clauses)
235,german,Gram: wo,adverbial clause marker
236,german,Gram: der,DEFINITE ARTICLE
237,german,Gram: ein,INDEFINITE article (here: masculine)
238,german,Gram: würde,SUBJUNCTIVE (periphrastic SUBJUNCTIVE)
239,german,Gram: doch,MODAL particle (implying shared knowledge)
240,german,Gram: kriegen,'succeed'
241,german,Gram: Mann,EXCLAMATION
242,german,Gram: von,attributive POSSESSION (preposition)
243,german,Gram: man,INDEFINITE PRONOUN
244,german,Gram: ein(-er),INDEFINITE PRONOUN (-NOM.SG.M)
245,german,Gram: Sie,'you' (PERSONAL PRONOUN 2SG/PL HONORIFIC)
246,german,Gram: welcher,RELATIVIZER (RELATIVE PRONOUN)
247,german,Gram: der,RELATIVIZER (RELATIVE PRONOUN)
248,german,Gram: (ge-...-t) haben,PAST
249,german,Gram: werden,FUTUTRE aux
250,german,Gram: (ge-...-t) werden,PASSIVE aux
251,german,Gram: bekommen,PASSIVE aux (recipient passive)
252,german,Gram: sich,ANTICAUSATIVE
253,german,Gram: zu,INFINITIVE marker
254,guadelopeancreole,Gram: mwen,OBJECT PRONOUN
255,guineabissaukriyol,Gram: utru,INDEFINITE ARTICLE
256,guyanais,Gram: kompannyen,RECIPROCAL
257,haitiancreole,Gram: ap,PROGRESSIVE
258,haitiancreole,Gram: konn,HABITUAL
259,haitiancreole,Gram: =la,DEFINITE ARTICLE
260,haitiancreole,Gram: yo,PLURAL (particle)
261,hindi,Gram: rahnā,DURATIVE continuative
262,hindi,Gram: rahnā,PROGRESSIVE
263,hindi,Gram: karnā,HABITUAL /FREQUENTATIVE
264,hindi,Gram: cuknā,TERMINATIVE
265,hindi,Gram: lagnā,INCHOATIVE
266,hindi,Gram: ko,DATIVE case marker
267,hindi,Gram: ko,ACCUSATIVE case marker
268,hindi,Gram: ne,ERGATIVE case marker
269,hindi,Gram: dvārā,'by (means of)'
270,hindi,Gram: pās,near (SPATIAL postposition)
271,hindi,Gram: karnā,TRANSITIVITY/CAUSATIVE marker
272,hindi,Gram: denā,PERMISSIVE CAUSATION aux
273,hindi,Gram: ki,alternative QUESTION marker ('or')
274,hindi,Gram: to,"CONJUNCTION ('then, so')"
275,hindi,"Gram: -kar, -ke",CONVERB marker
276,hindi,Gram: apnī,"FOCUS, EMPHATIC marker (of possessor)"
277,hindi,Gram: to,TOPIC (Contrastive topic particle)
278,hindi,Gram: paṛnā,"constraining OBLIGATION ('be obliged to, have to')"
279,hindi,Gram: honā,Specific DEONTIC OBLIGATION 'must'
280,hindi,Gram: saknā,"default POSSIBILITY 'can, may'"
281,hindi,Gram: pānā,"POSSIBILITY mood ""can"" ""succeed"""
282,hindi,Gram: ānā,"ABILITY mood ""be able"""
283,hindi,Gram: cāhie,"OBLIGATION ""should"""
284,hindi,Gram: kā,GENITIVE marker
285,hindi,Gram: āp,PERSONAL PRONOUN (2. person HONORIFIC)
286,hindi,Gram: to,RELATIVIZER (Correlative after a relative)
287,hindi,Gram: se,ABLATIVE
288,hindi,Gram: pīcche,behind (SPATIAL postposition)
289,hindi,Gram: -gā,FUTURE (suffix)
290,hindi,Gram: apne,REFLEXIVE 'self'
291,hindi,Gram: honā,INTRANSITIVE/MEDIO-PASSIVE marker
292,hindi,Gram: jānā,PASSIVE voice marker (transitive and intransitive)
293,hoocak,"Gram: wąągá-, wąągá-...-wi",first person DUAL/PLURAL (inclusive) UNDERGOER prefix
294,hoocak,Gram: -he,CONTINUATIVE aspect
295,hoocak,Gram: =(h)ak/=(h)ąk,CONTINUATIVE aspect
296,hoocak,Gram: =ke,FREQUENTATIVE
297,hoocak,Gram: ru-,INSTRUMENTAL prefix ('by hand')
298,hoocak,Gram: =ga,SUBORDINATOR (CONTINUATIVE)
299,hoocak,Gram: ='ų,SUBORDINATOR (SIMULTANITY)
300,hoocak,Gram: =ra,DEFINITE ARTICLE
301,hoocak,Gram: =(h)ižą,INDEFINITE ARTICLE
302,hoocak,Gram: =ži,FOCUS marker
303,hoocak,Gram: =gi,TOPIC marker
304,hoocak,Gram: -wį,FEMALE (sexus marker for proper names)
305,hoocak,Gram: =ga,PROPER NAME marker
306,hoocak,Gram: =re,IMPERATIVE marker
307,hoocak,Gram: -wi,PLURAL marker (SAP)
308,hoocak,"Gram: =nįk, =įk",DIMINUTIVE marker
309,hoocak,Gram: 'ee,"PERSONAL PRO (3rd person, emphatic)"
310,hoocak,Gram: =že/=še,QUOTATIVE marker
311,hoocak,Gram: eeja,general LOCATIVE postposition
312,hoocak,Gram: =re,ADVERBIALIZER (TEMPORAL)
313,huanca,"Gram: -kaʔ, -ka:",DEFINITE DETERMINER
314,hungarian,Gram: a/z,DEFINITE article
315,hungarian,Gram: -(V)n,SUPERESSIVE
316,hungarian,Gram: bel-,"inside, interior'"
317,hungarian,Gram: fog,FUTURE aux
318,hungarian,Gram: =kor,TEMPORAL marker
319,italian,Gram: andare,change of state
320,italian,Gram: andare,HABITUAL
321,italian,Gram: quando,marker of adverbial  (temporal) clause
322,italian,Gram: arrivare,succeed'
323,italian,Gram: arrivare,ABILITY
324,italian,"Gram: lui, egli","personal pronoun, 3SG.M"
325,italian,Gram: fare,pro-verb
326,italian,Gram: ci,personal pronoun '(to) us/ourselves'
327,italian,Gram: dove,RELATIVIZER
328,italian,Gram: veder-si (+V),"PASSIVE (+ PAST.PARTICIPLE/INF) (e.g., si vide. RFL see.PST.3SG/si videro RFL see.PST.3PL)"
329,jamaican,Gram: wehn,PAST
330,japhug,"Gram: pɯ-, pjɤ-",PAST IMPERFECTIVE marker
331,japhug,Gram: ɯ-ɕki,(3SG-) DATIVE marker
332,japhug,Gram: ɯ-rca,COMITATIVE
333,japhug,Gram: sɯβzu,periphrastic CAUSATIVE
334,japhug,Gram: me,alternative CONJUNCTION 'whether'
335,japhug,Gram: ɯspa,PURPOSIVE linker (SUBORDINATOR)
336,japhug,Gram: nɯmga,PURPOSIVE linker (SUBORDINATOR)
337,japhug,Gram: núndʐa,CAUSAL SUBORDINATOR ('for this reason')
338,japhug,Gram: apɯŋu,CONDITIONAL (SUBORDINATOR)
339,japhug,Gram: rcanɯ,UNEXPECTEDNESS marker
340,japhug,Gram: ɲɯ-,SENSORY prefix (EVIDENTIAL: knowledge mediated through observation or second hand)
341,japhug,Gram: ku-,EGOPHORIC prefix (EVIDENTIAL: personally experienced knowledge)
342,japhug,Gram: pɯpɯŋunɤ,delimitive TOPIC marker
343,japhug,Gram: jiɕqha,aforementioned TOPIC marker
344,japhug,Gram: ŋu,FOCUS
345,japhug,Gram: =ni,DUAL clitic
346,japhug,Gram: -ʑo,INTENSIVE(-REFLEXIVE)
347,japhug,Gram: -pɯ,DIMINUTIVE
348,japhug,Gram: nɯ,PERSONAL PRO (3rd person)
349,japhug,Gram: tɯrme,INDEFINITE PRONOUN
350,japhug,"Gram: ɕɯ-, ɕ-, s-, z-",ANDATIVE prefix
351,japhug,Gram: ɣɯ-,VENITIVE prefix
352,japhug,Gram: rɤ-,ANTIPASSIVE voice marker
353,japhug,Gram: -ʑɣɤ-,REFLEXIVE
354,jubaarabic,Gram: amulu,CAUSATIVE
355,jula,Gram: tá,GENITIVE (alienable) postposition
356,ket,Gram: -ŋ,Adjective PLURAL AGREEMENT marker
357,ket,Gram: -jə,3rd PERSON AGREEMENT marker
358,ket,Gram: -du,Nominal Subject AGREEMENT Suffix
359,ket,Gram: -ja- + -aj,STATIVE-RESULTATIVE Circumfix
360,ket,Gram: -iŋ,ITERATIVE
361,ket,Gram: -bɛt,ITERATIVE for transitive verbs
362,ket,Gram: -a,DATIVE
363,ket,Gram: -an,CARITIVE case marker
364,ket,Gram: -q-...-it,(INCEPTIVE) CAUSATIVE
365,ket,Gram: ø,INFINITIVE
366,ket,Gram: sim,CONDITIONAL
367,ket,Gram: -kupka,subordinate clause suffix (temporal subordinator)
368,ket,Gram: bila,COMPLEMENTIZER
369,ket,Gram: qān,OPTATIVE
370,ket,Gram: -(V)ŋ,Event PLURALITY
371,ket,Gram: -ŋ,"PLURAL, PLURACTIONAL marker"
372,ket,Gram: qorɛ,RELATIVIZER
373,ket,Gram: =ʌʌd=,top of
374,ket,Gram: =bal=,between' (postposition)
375,ket,Gram: -in,PAST
376,ket,Gram: qam,PROX FUTURE
377,ket,Gram: -k-,TRANSITIVIZER for motion verbs
378,khmer,Gram: cɔp,COMPLETIVE
379,khmer,Gram: haǝy,PERFECTIVE
380,khmer,Gram: tɤ̀u,INCREMENTAL DEVELOPMENT
381,khmer,Gram: nɤ̀u,CONTINUOUS
382,khmer,Gram: dɔl,until'
383,khmer,Gram: cì:ǝ,COMITATIVE marker
384,khmer,Gram: ta:m,ACCORDING TO (preposition)
385,khmer,Gram: ta:m,INSTRUMENTAL (used only with vehicles)
386,khmer,Gram: daoy,INSTRUMENTAL (general)
387,khmer,Gram: daoy,MATERIAL (in the sense of 'made of')
388,khmer,Gram: Ɂaoy,BENEFACTIVE (preposition)
389,khmer,Gram: Ɂaoy,DATIVE
390,khmer,Gram: cì:ǝmù:ǝynɯ̒ŋ,'together'/COMITATIVE
391,khmer,Gram: yɔ̀:k,INSTRUMENTAL marker
392,khmer,Gram: thvɤ̀,CAUSATIVE
393,khmer,Gram: Ɂaoy,CAUSATIVE
394,khmer,Gram: cì:ǝ,CONCESSIVE
395,khmer,Gram: rù:ǝc,CONSECUTIVE
396,khmer,Gram: haǝy(-nɯ̒ŋ),COORDINATIVE particle 'and'
397,khmer,Gram: daoy,adverbial SUBORDINATOR: CAUSE
398,khmer,Gram: Ɂaoy,PURPOSE
399,khmer,Gram: Ɂaoy,MANNER
400,khmer,Gram: Ɂaoy,COMPLEMENTIZER
401,khmer,Gram: nùh,DEFINITENESS
402,khmer,Gram: mù:ǝy,INDEFINITNESS
403,khmer,Gram: kba:l,CLASSIFIER
404,khmer,Gram: ba:n,ABILITY
405,khmer,Gram: ba:n,PERMISSIVE
406,khmer,Gram: ba:n,POSSIBILITY
407,khmer,Gram: ba:n,succeed'
408,khmer,Gram: tɤ̀u,HORTATIVE
409,khmer,Gram: cì:ǝ,"in the function of, as' (preposition)"
410,khmer,Gram: rǝbɔh,POSSESSION marker
411,khmer,Gram: cì:ǝ,QUOTATIVE marker
412,khmer,Gram: tha:,QUOTATIVE marker
413,khmer,Gram: mɔ̀:k,VENITIVE (DIRECTIONAL verb)
414,khmer,Gram: tɤ̀u,ANDATIVE (DIRECTIONAL verb)
415,khmer,Gram: ceɲ,EGRESSIVE (DIRECTIONAL verb)
416,khmer,Gram: nɤ̀u,LOCATIVE preposition
417,khmer,Gram: dɔl,ALLATIVE
418,khmer,Gram: mɔ̀:k,preposition indicating DIRECTION to GOAL near speaker
419,khmer,Gram: ta:m,SPATIAL ALONG/PATH
420,khmer,Gram: tɤ̀u,ALLATIVE
421,khmer,Gram: kha:ŋ-,LOCATIVE marker (prefix of relational noun)
422,khmer,Gram: dɔl,TEMPORAL adverbial
423,khmer,Gram: ba:n,PAST
424,khmer,Gram: khlu:ǝn,INTENSIFIER-REFLEXIVE
