ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source,Type
23055-kam-kvm-future-s,abyanei,love,*kām-,,,,
23055-kam-kvm-future-t,abyanei,future,kVm-,,,,
10031-done-done-completive-s,africanamericanvernacularenglish,do,done,,,,
10031-done-done-completive-t,africanamericanvernacularenglish,completive,done,,,,
11024-naa-naanajanaanaaanaaja-perfectaspect-s,aghul,copula,(-na) a,,,,
11024-naa-naanajanaanaaanaaja-perfectaspect-t,aghul,perfectaspect,"-naa, -naja, -na a, -na aa, -na aja",,,,
11004-ejcin-jcin-indefinite-s,aghul,copula,ejči(n),,,,
11004-ejcin-jcin-indefinite-t,aghul,indefinite,jči(n),,,,
11032-sij-sij-irrealis-s,aghul,copula,(-s) ij,,,,
11032-sij-sij-irrealis-t,aghul,irrealis,-sij,,,,
11022-nae-ne-past-s,aghul,copula,(-na) e,,,,
11022-nae-ne-past-t,aghul,past,-ne,,,,
11054-jaq-jaq-durative-s,aghul,do,(-j) aq'-,,,,
11054-jaq-jaq-durative-t,aghul,durative,(-j) aq'-,,,,
11002-qqaj-qaj-comitative-s,aghul,possess,(-q) qaj,,,,
11002-qqaj-qaj-comitative-t,aghul,comitative,-qaj,,,,
11047-gah-gunaganaguni-subordinator-s,aghul,time,gah,,,,
11047-gah-gunaganaguni-subordinator-t,aghul,subordinator,"-guna, -gana, -guni",,,,
11003-sa-sa-indefinite-s,aghul,one,sa,,,,
11003-sa-sa-indefinite-t,aghul,indefinite,sa,,,,
11007-kancira-kancira-indefinite-s,aghul,want,kːanči꞊ra,,,,
11007-kancira-kancira-indefinite-t,aghul,indefinite,kːanči꞊ra,,,,
11039-ajaaje-aj-evidentialreported-s,aghul,say,"ʁaja, ʁaje",,,,
11039-ajaaje-aj-evidentialreported-t,aghul,evidentialreported,-ʁaj,,,,
11060-sara-sara-other-s,aghul,one,sa(-ra),,,,
11060-sara-sara-other-t,aghul,other,sara,,,,
11061-sa-sa-same-s,aghul,one,sa,,,,
11061-sa-sa-same-t,aghul,same,sa,,,,
11059-sa-sa-only-s,aghul,one,sa,,,,
11059-sa-sa-only-t,aghul,only,sa,,,,
11055-aqas-aqas-proverb-s,aghul,do,(a)q'as,,,,
11055-aqas-aqas-proverb-t,aghul,proverb,(a)q'as,,,,
11015-aqas-aqas-causative-s,aghul,do,(a)q'as,,,,
11015-aqas-aqas-causative-t,aghul,causative,(a)q'as,,,,
11041-ciag-cugcukcuq-verificative-s,aghul,see,(-či) agʷ-,,,,
11041-ciag-cugcukcuq-verificative-t,aghul,verificative,"-čug-, -čuk'-, -čuq'-",,,,
11009-ra-ra-pronounnegation-s,aghul,also,=ra,,,,
11009-ra-ra-pronounnegation-t,aghul,pronounnegation,=ra,,,,
11014-ra-ra-collectivenumeral-s,aghul,also,꞊ra,,,,
11014-ra-ra-collectivenumeral-t,aghul,collectivenumeral,꞊ra,,,,
11045-q-qqaquqi-iterative-s,aghul,behind,q-,,,,
11045-q-qqaquqi-iterative-t,aghul,iterative,"q-, qa-, qu-, qi",,,,
10036-onge-onge-reflexive-s,angolar,body,onge,,,,
10036-onge-onge-reflexive-t,angolar,reflexive,onge,,,,
11052-eqen-eqen-allative-s,archi,arrive,eq'(-en),,,,
11052-eqen-eqen-allative-t,archi,allative,eq'en,,,,
11037-os-os-epossibility-s,archi,find,χos,,,,
11037-os-os-epossibility-t,archi,epossibility,χos,,,,
11012-bosdub-bosdub-ordinalnumeral-s,archi,say,-bosdub,,,,
11012-bosdub-bosdub-ordinalnumeral-t,archi,ordinalnumeral,-bosdub,,,,
11040-ak-k-verificative-s,archi,see,akː-,,,,
11040-ak-k-verificative-t,archi,verificative,-kː-,,,,
17001-loka-log-plural-s,awadhi,peopleworld,loka,,,,
17001-loka-log-plural-t,awadhi,plural,log,,,,
1013-qka-qka-habitual-s,ayacuchoquechua,copula,(-q) ka,,,,
1013-qka-qka-habitual-t,ayacuchoquechua,habitual,-q ka,,,,
1025-huk-huk-other-s,ayacuchoquechua,one,huk,,,,
1025-huk-huk-other-t,ayacuchoquechua,other,huk,,,,
1015-na-na-dnecessity-s,ayacuchoquechua,nominalizer,-na,,,,
1015-na-na-dnecessity-t,ayacuchoquechua,dnecessity,-na,,,,
23009-ya-i-definite-s,bactrian,relativizer,*ya-,,,,
23009-ya-i-definite-t,bactrian,definite,i,,,,
24006-mian-men-relativizer-s,balantak,person,mian,,,,
24006-mian-men-relativizer-t,balantak,relativizer,men,,,,
23034-vinfaa-vinfaa-progressive-s,balochi,copula,(V(INF)-ā) ã,,,,
23034-vinfaa-vinfaa-progressive-t,balochi,progressive,V(INF)-ā ã,,,,
23033-vinfiint-vinfiint-dnecessity-s,balochi,copula,(V(INF)-ī) int,,,,
23033-vinfiint-vinfiint-dnecessity-t,balochi,dnecessity,V(INF)-ī int,,,,
23032-vinfia-vinfia-future-s,balochi,copula,(V(INF)-ī) ą,,,,
23032-vinfia-vinfia-future-t,balochi,future,V(INF)-ī ą,,,,
23029-aiagata-ayat-changeofstate-s,balochi,come,*āi- / *āgata-,,,,
23029-aiagata-ayat-changeofstate-t,balochi,changeofstate,"āy-, āt",,,,
23045-syuta-sut-changeofstate-s,balochi,go,*šyuta-,,,,
23045-syuta-sut-changeofstate-t,balochi,changeofstate,šut,,,,
23051-hrsta-ist-completive-s,balochi,leave,*hršta-,,,,
23051-hrsta-ist-completive-t,balochi,completive,išt,,,,
23064-nest-nest-completive-s,balochi,sit,nešt,,,,
23064-nest-nest-completive-t,balochi,completive,nešt,,,,
23065-zurzirzurtzurt-zurzirzurtzurt-completive-s,balochi,take,"zūr-, zīr- / zurt, zūrt",,,,
23065-zurzirzurtzurt-zurzirzurtzurt-completive-t,balochi,completive,"zūr-, zīr- / zurt, zūrt",,,,
23050-sarah-sar-upspatial-s,balochi,head,*sarah-,,,,
23050-sarah-sar-upspatial-t,balochi,upspatial,sar,,,,
23026-prsta-pust-behind-s,balochi,backbodypart,*pršta-,,,,
23026-prsta-pust-behind-t,balochi,behind,pušt,,,,
23060-wacyayati-gusi-evidential-s,balochi,say,*wačy(-ayati),,,,
23060-wacyayati-gusi-evidential-t,balochi,evidential,guš-ī,,,,
23061-wacyayati-si-evidential-s,balochi,say,*wačy(-ayati),,,,
23061-wacyayati-si-evidential-t,balochi,evidential,šī,,,,
23053-bil-bil-dpossibility-s,balochi,leave,(b-)il,,,,
23053-bil-bil-dpossibility-t,balochi,dpossibility,(b-)il,,,,
23068-lot-lot-dnecessity-s,balochi,want,lōṭ-,,,,
23068-lot-lot-dnecessity-t,balochi,dnecessity,lōṭ-,,,,
23059-aiwa-e-singulativenumber-s,balochi,one,*aiwa-,,,,
23059-aiwa-e-singulativenumber-t,balochi,singulativenumber,=ē,,,,
23044-syuta-su-changeofstate-s,balochieastern,go,*šyuta-,,,,
23044-syuta-su-changeofstate-t,balochieastern,changeofstate,šuθ,,,,
23062-wacyanti-gusant-evidential-s,balochiwestern,say,*wačy(-anti),,,,
23062-wacyanti-gusant-evidential-t,balochiwestern,evidential,guš-an(t),,,,
23028-aiagataki-ayatki-futurenear-s,balochiwestern,come,*āi- / *āgata- (+ ki),,,,
23028-aiagataki-ayatki-futurenear-t,balochiwestern,futurenear,"āy-, āt (ki)",,,,
18029-ye-ye-completive-s,bambara,benefactive,yé,,,,
18029-ye-ye-completive-t,bambara,completive,yé,,,,
18057-ni-ni-conditionalconjunction-s,bambara,comitative,ní,,,,
18057-ni-ni-conditionalconjunction-t,bambara,conditionalconjunction,ní,,,,
18041-ka-ka-hortative-s,bambara,benefactive,ká,,,,
18041-ka-ka-hortative-t,bambara,hortative,ká,,,,
18033-ban-ban-already-s,bambara,finish,bán,,,,
18033-ban-ban-already-t,bambara,already,bán,,,,
18035-sin-sin-changeofstate-s,bambara,moveforward,sín,,,,
18035-sin-sin-changeofstate-t,bambara,changeofstate,sín,,,,
18037-segin-segin-iterative-s,bambara,return,sègín,,,,
18037-segin-segin-iterative-t,bambara,iterative,sègín,,,,
18038-to-to-durative-s,bambara,remain,tó,,,,
18038-to-to-durative-t,bambara,durative,tó,,,,
18039-tila-tila-eventually-s,bambara,separateescape,tílá,,,,
18039-tila-tila-eventually-t,bambara,eventually,tílá,,,,
18012-bolo-bolo-abstractpostposition-s,bambara,hand,bóló,,,,
18012-bolo-bolo-abstractpostposition-t,bambara,abstractpostposition,bóló,,,,
18020-kab-kab-ablativetemporal-s,bambara,comefrom,kà bɔ́,,,,
18020-kab-kab-ablativetemporal-t,bambara,ablativetemporal,kà bɔ́,,,,
18081-bolo-bolo-agentcase-s,bambara,hand,bóló,,,,
18081-bolo-bolo-agentcase-t,bambara,agentcase,bóló,,,,
18016-kun-kun-upspatial-s,bambara,head,kǔn,,,,
18016-kun-kun-upspatial-t,bambara,upspatial,kǔn,,,,
18011-c-c-between-s,bambara,waistmiddle,cɛ́,,,,
18011-c-c-between-t,bambara,between,cɛ́,,,,
18013-k-k-behind-s,bambara,backbodypart,kɔ́,,,,
18013-k-k-behind-t,bambara,behind,kɔ́,,,,
18014-kn-kn-inspatial-s,bambara,belly,kɔ́nɔ́,,,,
18014-kn-kn-inspatial-t,bambara,inspatial,kɔ́nɔ́,,,,
18017---frontcase-s,bambara,eyeface,ɲɛ́,,,,
18017---frontcase-t,bambara,frontcase,ɲɛ́,,,,
18021-kataa-kataa-allative-s,bambara,go,(ka)̀ táa,,,,
18021-kataa-kataa-allative-t,bambara,allative,kà táa,,,,
18059-sabu-sabu-causeconjunction-s,bambara,cause,sábú,,,,
18059-sabu-sabu-causeconjunction-t,bambara,causeconjunction,sábú,,,,
18067-ko-ko-similativeconjunction-s,bambara,say,ko,,,,
18067-ko-ko-similativeconjunction-t,bambara,similativeconjunction,ko,,,,
18070-to-d-indefinite-s,bambara,one,*to,,,,
18070-to-d-indefinite-t,bambara,indefinite,dɔ́,,,,
18077-den-nin-diminutive-s,bambara,child,dén,,,,
18077-den-nin-diminutive-t,bambara,diminutive,-nin,,,,
18073-to-d-other-s,bambara,one,*to,,,,
18073-to-d-other-t,bambara,other,dɔ́,,,,
18074-kelen-kelen-same-s,bambara,one,kélén,,,,
18074-kelen-kelen-same-t,bambara,same,kélén,,,,
18063-dan-dan-only-s,bambara,limit,dǎn,,,,
18063-dan-dan-only-t,bambara,only,dǎn,,,,
18042-kana-kana-prohibitive-s,bambara,come,kànâ,,,,
18042-kana-kana-prohibitive-t,bambara,prohibitive,kànâ,,,,
18043-se-se-epossibility-s,bambara,reach,sé,,,,
18043-se-se-epossibility-t,bambara,epossibility,sé,,,,
18044-kan-kan-dnecessity-s,bambara,beequal,kán,,,,
18044-kan-kan-dnecessity-t,bambara,dnecessity,kán,,,,
18076-se-se-pipossibility-s,bambara,arrive,sé,,,,
18076-se-se-pipossibility-t,bambara,pipossibility,sé,,,,
18008-si-si-indefinitepronounnegative-s,bambara,kind,sí,,,,
18008-si-si-indefinitepronounnegative-t,bambara,indefinitepronounnegative,sí,,,,
18068-muso-muso-female-s,bambara,woman,mùsó,,,,
18068-muso-muso-female-t,bambara,female,mùsó,,,,
18085-c-k-male-s,bambara,man,cɛ̌,,,,
18085-c-k-male-t,bambara,male,-kɛ,,,,
18069-kelen-kelen-only-s,bambara,one,kélén,,,,
18069-kelen-kelen-only-t,bambara,only,kélén,,,,
