ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family,Source_comment
abyanei,Abyanei,Eurasia,,,abya1234,,,Agnes Korn (Iranian [Indo-European])
africanamericanvernacularenglish,African-American Vernacular English,Eurasia,,,afri1276,,,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
aghul,Aghul,Eurasia,41.9242,47.5843,aghu1253,agx,,Timur Maisak (Lezgic [Northeast Caucasian])
angolar,Angolar,Africa,0.11438,6.59486,ango1258,aoa,,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
archi,Archi,Eurasia,42.3239,46.8267,arch1244,aqc,,Timur Maisak (Lezgic (Northeast Caucasian))
awadhi,Awadhi,Eurasia,27.5907,82.4663,awad1243,awa,,Annie Montaut (Indo-Aryan [Indo-European])
ayacuchoquechua,Ayacucho Quechua,South America,-13.84714,-74.32246,ayac1239,quy,,Willem F. H. Adelaar (Quechua and Aymara)
bactrian,Bactrian,Eurasia,36.81,66.85,bact1239,xbc,,Agnes Korn (Iranian [Indo-European])
balantak,Balantak,Papunesia,-0.86809,123.289,bala1315,blz,,Nikolaus P. Himmelmann (Malayo-Polynesian [Austronesian] & Mori [Yareban])
balochi,Balochi,,,,balo1260,,,Agnes Korn (Iranian [Indo-European])
balochieastern,Balochi (Eastern),Eurasia,29.38213,69.05834,east2304,bgp,,Agnes Korn (Iranian [Indo-European])
balochiwestern,Balochi (Western),Eurasia,29.49928,66.02877,west2368,bgn,,Agnes Korn (Iranian [Indo-European])
bambara,Bambara,Africa,12.9,-7.65,bamb1269,bam,,"Denis Creissels (Manding [Mande, Niger-Congo])"
bardi,Bardi,Australia,-16.6274,122.906,bard1255,bcj,,"William B. McGregor (Nyulnyulan [non-Pama-Nyungan, Australian])"
bataviacreole,Batavia Creole,Eurasia,2.188087,102.262059,mala1533,mcm,,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
beja,Beja,Africa,17.2436,36.6666,beja1238,bej,,"Martine Vanhove (Beja [Cushitic, Afroasiatic])"
bhojpuri,Bhojpuri,Eurasia,26.458455,84.817115,bhoj1244,bho,,Annie Montaut (Indo-Aryan [Indo-European))
bislama,Bislama,Papunesia,-15.4,166.89,bisl1239,bis,,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
bolivianquechua,Bolivian Quechua,,,,boli1262,,,Willem F. H. Adelaar (Quechua and Aymara)
