ID,Source_Form_ID,Target_Form_ID,Comment,Subset,Example_ID
023055-kam-kvm-future,023055-kam-kvm-future-s,023055-kam-kvm-future-t,,30sources,023055-kam-kvm-future
010031-done-done-completive,010031-done-done-completive-s,010031-done-done-completive-t,"< do (English); Lisa Green. 2013. African American English structure dataset.
In: Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus (eds.)
Atlas of Pidgin and Creole Language Structures Online.",30sources,010031-done-done-completive
011024-naa-naanajanaanaaanaaja-perfectaspect,011024-naa-naanajanaanaaanaaja-perfectaspect-s,011024-naa-naanajanaanaaanaaja-perfectaspect-t,"the locative copula originally means 'be located, be inside'",30sources,011024-naa-naanajanaanaaanaaja-perfectaspect
011045-q-qqaquqi-iterative,011045-q-qqaquqi-iterative-s,011045-q-qqaquqi-iterative-t,,othersources,011045-q-qqaquqi-iterative
011054-jaq-jaq-durative,011054-jaq-jaq-durative-s,011054-jaq-jaq-durative-t,,30sources,011054-jaq-jaq-durative
011002-qqaj-qaj-comitative,011002-qqaj-qaj-comitative-s,011002-qqaj-qaj-comitative-t,"the development can be paraphrased as ""in X's possession being"" > ""with X""",othersources,011002-qqaj-qaj-comitative
011015-aqas-aqas-causative,011015-aqas-aqas-causative-s,011015-aqas-aqas-causative-t,the lexical verb takes the form of the infinitive,30sources,011015-aqas-aqas-causative
011047-gah-gunaganaguni-subordinator,011047-gah-gunaganaguni-subordinator-s,011047-gah-gunaganaguni-subordinator-t,,othersources,011047-gah-gunaganaguni-subordinator
011003-sa-sa-indefinite,011003-sa-sa-indefinite-s,011003-sa-sa-indefinite-t,,30sources,011003-sa-sa-indefinite
011004-ejcin-jcin-indefinite,011004-ejcin-jcin-indefinite-s,011004-ejcin-jcin-indefinite-t,the marker derives indefinite pronouns from interrogative ones,30sources,011004-ejcin-jcin-indefinite
011007-kancira-kancira-indefinite,011007-kancira-kancira-indefinite-s,011007-kancira-kancira-indefinite-t,the marker derives indefinite pronouns from interrogative ones,30sources,011007-kancira-kancira-indefinite
011039-ajaaje-aj-evidentialreported,011039-ajaaje-aj-evidentialreported-s,011039-ajaaje-aj-evidentialreported-t,,30sources,011039-ajaaje-aj-evidentialreported
011059-sa-sa-only,011059-sa-sa-only-s,011059-sa-sa-only-t,,30sources,011059-sa-sa-only
011032-sij-sij-irrealis,011032-sij-sij-irrealis-s,011032-sij-sij-irrealis-t,"structurally, the form is a ""future in the past""",30sources,011032-sij-sij-irrealis
011009-ra-ra-pronounnegation,011009-ra-ra-pronounnegation-s,011009-ra-ra-pronounnegation-t,the marker derives negative pronouns from interrogative ones (in combination with verbal negation),othersources,011009-ra-ra-pronounnegation
011014-ra-ra-collectivenumeral,011014-ra-ra-collectivenumeral-s,011014-ra-ra-collectivenumeral-t,,othersources,011014-ra-ra-collectivenumeral
011060-sara-sara-other,011060-sara-sara-other-s,011060-sara-sara-other-t,,30sources,011060-sara-sara-other
011061-sa-sa-same,011061-sa-sa-same-s,011061-sa-sa-same-t,,30sources,011061-sa-sa-same
011055-aqas-aqas-proverb,011055-aqas-aqas-proverb-s,011055-aqas-aqas-proverb-t,,30sources,011055-aqas-aqas-proverb
011041-ciag-cugcukcuq-verificative,011041-ciag-cugcukcuq-verificative-s,011041-ciag-cugcukcuq-verificative-t,,30sources,011041-ciag-cugcukcuq-verificative
011022-nae-ne-past,011022-nae-ne-past-s,011022-nae-ne-past-t,,30sources,011022-nae-ne-past
010036-onge-onge-reflexive,010036-onge-onge-reflexive-s,010036-onge-onge-reflexive-t,"Target Meaning also: RECIPROCAL; Philippe Maurer. 2013. Angolar structure dataset.
In: Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus (eds.)
Atlas of Pidgin and Creole Language Structures Online.",30sources,010036-onge-onge-reflexive
011037-os-os-epossibility,011037-os-os-epossibility-s,011037-os-os-epossibility-t,,othersources,011037-os-os-epossibility
011012-bosdub-bosdub-ordinalnumeral,011012-bosdub-bosdub-ordinalnumeral-s,011012-bosdub-bosdub-ordinalnumeral-t,,30sources,011012-bosdub-bosdub-ordinalnumeral
011040-ak-k-verificative,011040-ak-k-verificative-s,011040-ak-k-verificative-t,,30sources,011040-ak-k-verificative
011052-eqen-eqen-allative,011052-eqen-eqen-allative-s,011052-eqen-eqen-allative-t,,30sources,011052-eqen-eqen-allative
017001-loka-log-plural,017001-loka-log-plural-s,017001-loka-log-plural-t,"also other Eastern languages (Bhojpuri, Magahi)",othersources,017001-loka-log-plural
001013-qka-qka-habitual,001013-qka-qka-habitual-s,001013-qka-qka-habitual-t,example from Ayacucho Quechua; exists in other varieties too; COP is zero for 3rd person (minimal case measured),30sources,001013-qka-qka-habitual
001015-na-na-dnecessity,001015-na-na-dnecessity-s,001015-na-na-dnecessity-t,example from Ayacucho Quechua; exists in other varieties too,othersources,001015-na-na-dnecessity
001025-huk-huk-other,001025-huk-huk-other-s,001025-huk-huk-other-t,example from Ayacucho Quechua; exists in other varieties too,30sources,001025-huk-huk-other
023009-ya-i-definite,023009-ya-i-definite-s,023009-ya-i-definite-t,,othersources,023009-ya-i-definite
024006-mian-men-relativizer,024006-mian-men-relativizer-s,024006-mian-men-relativizer-t,,othersources,024006-mian-men-relativizer
023029-aiagata-ayat-changeofstate,023029-aiagata-ayat-changeofstate-s,023029-aiagata-ayat-changeofstate-t,,30sources,023029-aiagata-ayat-changeofstate
023034-vinfaa-vinfaa-progressive,023034-vinfaa-vinfaa-progressive-s,023034-vinfaa-vinfaa-progressive-t,,30sources,023034-vinfaa-vinfaa-progressive
023045-syuta-sut-changeofstate,023045-syuta-sut-changeofstate-s,023045-syuta-sut-changeofstate-t,,30sources,023045-syuta-sut-changeofstate
023051-hrsta-ist-completive,023051-hrsta-ist-completive-s,023051-hrsta-ist-completive-t,,30sources,023051-hrsta-ist-completive
023064-nest-nest-completive,023064-nest-nest-completive-s,023064-nest-nest-completive-t,,30sources,023064-nest-nest-completive
023065-zurzirzurtzurt-zurzirzurtzurt-completive,023065-zurzirzurtzurt-zurzirzurtzurt-completive-s,023065-zurzirzurtzurt-zurzirzurtzurt-completive-t,source not certain,30sources,023065-zurzirzurtzurt-zurzirzurtzurt-completive
023060-wacyayati-gusi-evidential,023060-wacyayati-gusi-evidential-s,023060-wacyayati-gusi-evidential-t,,30sources,023060-wacyayati-gusi-evidential
023061-wacyayati-si-evidential,023061-wacyayati-si-evidential-s,023061-wacyayati-si-evidential-t,contracted form of the previous item,30sources,023061-wacyayati-si-evidential
023033-vinfiint-vinfiint-dnecessity,023033-vinfiint-vinfiint-dnecessity-s,023033-vinfiint-vinfiint-dnecessity-t,,30sources,023033-vinfiint-vinfiint-dnecessity
023053-bil-bil-dpossibility,023053-bil-bil-dpossibility-s,023053-bil-bil-dpossibility-t,b- is the element in 023013,30sources,023053-bil-bil-dpossibility
023068-lot-lot-dnecessity,023068-lot-lot-dnecessity-s,023068-lot-lot-dnecessity-t,,30sources,023068-lot-lot-dnecessity
023059-aiwa-e-singulativenumber,023059-aiwa-e-singulativenumber-s,023059-aiwa-e-singulativenumber-t,,30sources,023059-aiwa-e-singulativenumber
023050-sarah-sar-upspatial,023050-sarah-sar-upspatial-s,023050-sarah-sar-upspatial-t,,30sources,023050-sarah-sar-upspatial
023026-prsta-pust-behind,023026-prsta-pust-behind-s,023026-prsta-pust-behind-t,,30sources,023026-prsta-pust-behind
023032-vinfia-vinfia-future,023032-vinfia-vinfia-future-s,023032-vinfia-vinfia-future-t,,30sources,023032-vinfia-vinfia-future
023044-syuta-su-changeofstate,023044-syuta-su-changeofstate-s,023044-syuta-su-changeofstate-t,,30sources,023044-syuta-su-changeofstate
023062-wacyanti-gusant-evidential,023062-wacyanti-gusant-evidential-s,023062-wacyanti-gusant-evidential-t,operates like the two previous items,30sources,023062-wacyanti-gusant-evidential
023028-aiagataki-ayatki-futurenear,023028-aiagataki-ayatki-futurenear-s,023028-aiagataki-ayatki-futurenear-t,,30sources,023028-aiagataki-ayatki-futurenear
018029-ye-ye-completive,018029-ye-ye-completive-s,018029-ye-ye-completive-t,Target Meaning also: FUNCTIVE postposition,othersources,018029-ye-ye-completive
018033-ban-ban-already,018033-ban-ban-already-s,018033-ban-ban-already-t,,30sources,018033-ban-ban-already
018035-sin-sin-changeofstate,018035-sin-sin-changeofstate-s,018035-sin-sin-changeofstate-t,,othersources,018035-sin-sin-changeofstate
018037-segin-segin-iterative,018037-segin-segin-iterative-s,018037-segin-segin-iterative-t,,othersources,018037-segin-segin-iterative
018038-to-to-durative,018038-to-to-durative-s,018038-to-to-durative-t,,othersources,018038-to-to-durative
018039-tila-tila-eventually,018039-tila-tila-eventually-s,018039-tila-tila-eventually-t,,othersources,018039-tila-tila-eventually
018012-bolo-bolo-abstractpostposition,018012-bolo-bolo-abstractpostposition-s,018012-bolo-bolo-abstractpostposition-t,,30sources,018012-bolo-bolo-abstractpostposition
018020-kab-kab-ablativetemporal,018020-kab-kab-ablativetemporal-s,018020-kab-kab-ablativetemporal-t,,30sources,018020-kab-kab-ablativetemporal
018081-bolo-bolo-agentcase,018081-bolo-bolo-agentcase-s,018081-bolo-bolo-agentcase-t,,30sources,018081-bolo-bolo-agentcase
018024-da-la-causative,018024-da-la-causative-s,018024-da-la-causative-t,"Target Meaning also: INSTRUMENTAL, LOCATIVE postposition",othersources,018024-da-la-causative
018025-bila-bila-causative,018025-bila-bila-causative-s,018025-bila-bila-causative-t,,30sources,018025-bila-bila-causative
018055-sani-sani-beforetemporal,018055-sani-sani-beforetemporal-s,018055-sani-sani-beforetemporal-t,,othersources,018055-sani-sani-beforetemporal
018057-ni-ni-conditionalconjunction,018057-ni-ni-conditionalconjunction-s,018057-ni-ni-conditionalconjunction-t,Source Meaning also: additive coordination; example from Bambara,othersources,018057-ni-ni-conditionalconjunction
018059-sabu-sabu-causeconjunction,018059-sabu-sabu-causeconjunction-s,018059-sabu-sabu-causeconjunction-t,,othersources,018059-sabu-sabu-causeconjunction
018067-ko-ko-similativeconjunction,018067-ko-ko-similativeconjunction-s,018067-ko-ko-similativeconjunction-t,,30sources,018067-ko-ko-similativeconjunction
018070-to-d-indefinite,018070-to-d-indefinite-s,018070-to-d-indefinite-t,,30sources,018070-to-d-indefinite
018063-dan-dan-only,018063-dan-dan-only-s,018063-dan-dan-only-t,,othersources,018063-dan-dan-only
018069-kelen-kelen-only,018069-kelen-kelen-only-s,018069-kelen-kelen-only-t,,30sources,018069-kelen-kelen-only
018072-kelen-kelen-only,018072-kelen-kelen-only-s,018072-kelen-kelen-only-t,,30sources,018072-kelen-kelen-only
018068-muso-muso-female,018068-muso-muso-female-s,018068-muso-muso-female-t,,30sources,018068-muso-muso-female
018085-c-k-male,018085-c-k-male-s,018085-c-k-male-t,,30sources,018085-c-k-male
018041-ka-ka-hortative,018041-ka-ka-hortative-s,018041-ka-ka-hortative-t,"other varieties: Kor yá, BBm lá",othersources,018041-ka-ka-hortative
018042-kana-kana-prohibitive,018042-kana-kana-prohibitive-s,018042-kana-kana-prohibitive-t,other variety: Koy ká,30sources,018042-kana-kana-prohibitive
018043-se-se-epossibility,018043-se-se-epossibility-s,018043-se-se-epossibility-t,,othersources,018043-se-se-epossibility
018044-kan-kan-dnecessity,018044-kan-kan-dnecessity-s,018044-kan-kan-dnecessity-t,,othersources,018044-kan-kan-dnecessity
018076-se-se-pipossibility,018076-se-se-pipossibility-s,018076-se-se-pipossibility-t,,30sources,018076-se-se-pipossibility
018008-si-si-indefinitepronounnegative,018008-si-si-indefinitepronounnegative-s,018008-si-si-indefinitepronounnegative-t,,othersources,018008-si-si-indefinitepronounnegative
018073-to-d-other,018073-to-d-other-s,018073-to-d-other-t,,30sources,018073-to-d-other
018074-kelen-kelen-same,018074-kelen-kelen-same-s,018074-kelen-kelen-same-t,,30sources,018074-kelen-kelen-same
018077-den-nin-diminutive,018077-den-nin-diminutive-s,018077-den-nin-diminutive-t,,30sources,018077-den-nin-diminutive
018082-bolo-bolo-hpossessive,018082-bolo-bolo-hpossessive-s,018082-bolo-bolo-hpossessive-t,,30sources,018082-bolo-bolo-hpossessive
018022-atigi-atigi-personalpronoun,018022-atigi-atigi-personalpronoun-s,018022-atigi-atigi-personalpronoun-t,,othersources,018022-atigi-atigi-personalpronoun
018026-gn-gn-reciprocalpronoun,018026-gn-gn-reciprocalpronoun-s,018026-gn-gn-reciprocalpronoun-t,,othersources,018026-gn-gn-reciprocalpronoun
018071-to-d-indefinitepronoun,018071-to-d-indefinitepronoun-s,018071-to-d-indefinitepronoun-t,,30sources,018071-to-d-indefinitepronoun
018075-fnofn-feoofe-indefinitepronoun,018075-fnofn-feoofe-indefinitepronoun-s,018075-fnofn-feoofe-indefinitepronoun-t,,30sources,018075-fnofn-feoofe-indefinitepronoun
018016-kun-kun-upspatial,018016-kun-kun-upspatial-s,018016-kun-kun-upspatial-t,,30sources,018016-kun-kun-upspatial
018011-c-c-between,018011-c-c-between-s,018011-c-c-between-t,,othersources,018011-c-c-between
018013-k-k-behind,018013-k-k-behind-s,018013-k-k-behind-t,,30sources,018013-k-k-behind
018014-kn-kn-inspatial,018014-kn-kn-inspatial-s,018014-kn-kn-inspatial-t,,othersources,018014-kn-kn-inspatial
018017---frontcase,018017---frontcase-s,018017---frontcase-t,,othersources,018017---frontcase
018021-kataa-kataa-allative,018021-kataa-kataa-allative-s,018021-kataa-kataa-allative-t,,30sources,018021-kataa-kataa-allative
018048-na-na-future,018048-na-na-future-s,018048-na-na-future-t,,30sources,018048-na-na-future
018053-kabini-kabini-temporalmarker,018053-kabini-kabini-temporalmarker-s,018053-kabini-kabini-temporalmarker-t,,othersources,018053-kabini-kabini-temporalmarker
018036-ini-ini-imminence,018036-ini-ini-imminence-s,018036-ini-ini-imminence-t,,30sources,018036-ini-ini-imminence
012016-jina-jina-copula,012016-jina-jina-copula-s,012016-jina-jina-copula-t,,othersources,012016-jina-jina-copula
012007-ngany-nga-applicative,012007-ngany-nga-applicative-s,012007-ngany-nga-applicative-t,,othersources,012007-ngany-nga-applicative
010022-ja-dja-perfective,010022-ja-dja-perfective-s,010022-ja-dja-perfective-t,"< ja (Portugese); Philippe Maurer. 2013. Batavia Creole structure dataset.
In: Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus (eds.)
Atlas of Pidgin and Creole Language Structures Online.",othersources,010022-ja-dja-perfective
010012-com-kung-patientcase,010012-com-kung-patientcase-s,010012-com-kung-patientcase-t,"< com (Portugese); Philippe Maurer. 2013. Batavia Creole structure dataset.
In: Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus (eds.)
Atlas of Pidgin and Creole Language Structures Online.",othersources,010012-com-kung-patientcase
