ID,Original_Name,Name,Description
agreement,agreement,agreement,
aspect,aspect,aspect,
case-adposition,case/adposition,case/adposition,
conjunction,conjunction,conjunction,
copulaic,copulaic,copulaic,
definiteness,definiteness,definiteness,
evaluative,evaluative,evaluative,
evidential,evidential,evidential,
identity,identity,identity,
information-structure-devices,information structure devices,information structure devices,
modality,modality,modality,
negative,negative,negative,
noun-classification,noun classification,noun classification,
number,number,number,
other,other,other grams,
possession,possession,possession,
pronoun-proverb,pronoun/proverb,pronoun/proverb,
quantification,quantification,quantification,
relativization,relativization,relativization,
tense,tense,tense,
valency-change,valency change,valency change,
verbal-categories-other,"verbal categories, other",other verbal categories,
verbal-deixis,verbal deixis,verbal deixis,
word-class-change,word class change,word class change,
