Code,f1_Code,f2_Subset,f3_Datasource,f4_Authors,f5_MAreaD,f6_MAreaH,f7_Family,f8_Glottocode,f9_ISO,f10_Genus,f11_Languagename,f12_Reconstructed,f13_Source_form,f14_Source_meaning,f15_Source_meaning_simp,f16_Source_Labelgroup,f17_Target_form,f18_Target_meaning,f19_Target_meaning_simp,f20_Target_Labelgroup,f21_Ex,f22_Ex_gloss,f23_Ex_translation,f24_Ex_reference,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41
,1001,other sources,Handbook,Adelaar,South America,South America,Quechuan,quec1388,-,Quechua,Quechua II,,-kuna,(substantival) PLURALIZER,PLURAL,NUMBER,-ku,PLURALIZER (for 1st and 3rd person),AGREEMENT,AGREEMENT,wasi-n-ku,house-3-PL,'their house',Adelaar 2020: 986,example from Ayacucho Quechua,3,2,3,3,4,4,1,1,0,1,0,0,1,0,0,0
,1002,30 Sources,Handbook,Adelaar,South America,South America,Quechuan,jauj1238,qxw,Quechua,Huanca,,ka(-q),'be' (COPULA) (-active participle or agentive NOMINALIZATION marker),COPULA,COPULAIC,"-kaʔ, -ka:",DEFINITE DETERMINER,DEFINITE,DEFINITENESS,walaṣ̌-ka:-wan,boy-DEF-COM,'with the boy',Adelaar 2020: 989,example from Huancayo Quechua,3,2,3,3,3,4,4,3,1,0,1,1,1,1,1,1
,1003,other sources,Handbook,Adelaar,South America,South America,Quechuan,quec1388,-,Quechua,Quechua II,,-man(-(k)ta),ALLATIVE suffix  (-ACCUSATIVE suffix),ALLATIVE,CASE/ADPOSITION,-manta,ABLATIVE case marker,ABLATIVE (SPATIAL),CASE/ADPOSITION,ayakuču-manta,Ayacucho-ABL,'from Ayacucho',Adelaar (personal communication),example from Ayacucho Quechua,4,1,4,3,4,4,1,1,0,0,0,0,0,0,0,0
,1004,other sources,Handbook,Adelaar,South America,South America,Quechuan,quec1386,-,Quechua,Quechua I,,-pi(-(k)ta),LOCATIVE suffix (-ACCUSATIVE suffix),LOCATIVE,CASE/ADPOSITION,-pita,ABLATIVE case marker,ABLATIVE (SPATIAL),CASE/ADPOSITION,qaqaš-pita,San_Pedro_de_Cajas-ABL,'from San Pedro de Cajas',Adelaar (personal communication),example from North Junín Quechua,4,1,4,3,4,4,1,1,0,0,0,0,1,0,0,0
,1005,other sources,Handbook,Adelaar,South America,South America,Quechuan,quec1386,-,Quechua,Quechua I,,č̣awpi,"'middle, center'","'middle, center'",LEXICAL,-č̣aw,LOCATIVE case marker,LOCATIVE,CASE/ADPOSITION,paqraw-č̣aw,Pacaraos-LOC,'in Pacaraos',Adelaar (personal communication),example from Pacaraos Quechua,4,2,4,3,4,4,4,1,1,1,1,1,1,1,1,0
,1006,other sources,Handbook,Adelaar,South America,South America,Quechuan,paca1245,qvp,Quechua,Pacaraos Quechua,,kama,"'create, aim, fit'","'create, aim, fit'",LEXICAL,-kama,"TERMINATIVE case marker ('until', 'as long as')",UNTIL (CASE/CONJUNCTION),CASE/ADPOSITION,r̃ate:ru-m kunan-pa č̣a:-ri-mu-n kay-kama,thief-ASSERT now-ADD arrive-PL-VENIT-3SUBJ this(place)-LIMIT,'Thieves now come as far as here too.',Adelaar 2020: 991,example from Pacaraos Quechua; exists in other varieties too,4,1,4,3,4,4,4,1,1,0,1,1,1,1,1,0
,1007,other sources,Handbook,Adelaar,South America,South America,Quechuan,quec1388,-,Quechua,Quechua II,,čika,"'size, amount'","'size, amount'",LEXICAL,-čik,(verbal) PLURAL (2nd person),PLURAL,NUMBER,riku-su-nki-čik,see-INV-2SUBJ-2PL,'(s)he sees you (PLURAL)',Adelaar 2020: 994,example from Ayacucho Quechua,4,2,3,3,3,4,4,1,1,1,1,1,1,1,1,0
,1008,other sources,Handbook,Adelaar,South America,South America,Quechuan,quec1388,-,Quechua,Quechua II,,-kuna,(substantival) PLURAL marker,PLURAL,NUMBER,-ku,(verbal) PLURAL marker (1st and 3rd person),PLURAL,NUMBER,riku-su-nki-ku,see-INV-2SUBJ-1/3PL,'they see you',Adelaar 2020: 994,example from Ayacucho Quechua ,4,2,3,3,3,4,4,1,1,1,0,0,1,0,0,0
,1009,30 Sources,Handbook,Adelaar,South America,South America,Quechuan,quec1384,-,Quechua,Quechua I,,(-y) ka,(-INF NOMINALIZATION) COPULA,COPULA,COPULAIC,"-yka(:)-, -ya(:)-",PROGRESSIVE aspect,PROGRESSIVE,ASPECT,tapu-ma:-na-n-rayku qati-pa-yka:-ma-n,ask-1OBJ-FUT.NMLZ-3SUBJ-CASE:MOTIVE follow-APPL-PROGR-1OBJ-3SUBJ,'He is pursuing me for the sake of asking me questions.',Adelaar 2020: 982,example from Pacaraos Quechua,3,2,4,3,2,4,4,2,1,0,1,1,1,1,1,1
,1010,30 Sources,Handbook,Adelaar,South America,South America,Aymaran,sout2996,ayc,Aymara,Southern Aymara,,(-n(a)) k(a),(-GENITIVE/LOCATIVE case marker) 'be' (COPULA),COPULA,COPULAIC,-nk(a),existential VERBALIZER,VERBALIZER,WORD CLASS CHANGE,aka-n-k-iri-:-t-wa,this(place)-LOC-LOC.VRBZ-AGENT-COP.VRBZ-1SUBJ-DECL,"'I am from here.', 'I belong here.'",Adelaar 2020: 995,example from La Paz Aymara,3,2,3,3,1,4,4,2,1,0,1,1,0,1,1,1
,1011,other sources,Handbook,Adelaar,South America,South America,Quechuan,nort2980,qvn,Quechua,North Junín Quechua,Proto-Quechua,"*-rqu, *-rqa",DIRECTIONAL affix 'out',OUT (SPATIAL),VERBAL DEIXIS,"-ru, -ra",PERFECTIVE aspect,PERFECTIVE,ASPECT,papa qura-q-ra aywa-ru-šaq,potato weed-AGENT-INCOMPL go-PERF-1SUBJ.FUT,'I will still have to go and weed the potatoes.',Adelaar 2020: 979,example from North Junín Quechua,3,2,4,3,2,4,1,1,0,0,1,0,1,0,0,0
,1012,other sources,Handbook,Adelaar,South America,South America,Quechuan,nort2980,qvn,Quechua,North Junín Quechua,,uk(h)u ,"'body', 'interior'","'body', 'interior'",LEXICAL,-y(k)u,with special attention (INTENSIVE),INTENSIVE,"VERBAL CATEGORIES, OTHER",ana-yu-ru-n  /  punu-yu-šaq,look-INWARD-PERF-3SUBJ  /  sleep-SPEC.ATT-1SUBJ.FUT,'he has looked inside' /  'I shall sleep for a while',Adelaar (personal communication),example from North Junín Quechua; development: 'interior' (in Quechua II) > DIRECTIONAL affix 'in' > 'special attention',3,2,3,3,2,4,4,1,1,1,1,1,1,1,1,0
,1013,30 Sources,Handbook,Adelaar,South America,South America,Quechuan,ayac1239,quy,Quechua,Ayacucho Quechua,,(-q) ka,(-AGENT NOMINALIZATION (active PARTICIPLE)) COPULA (in PRESENT tense),COPULA,COPULAIC,-q ka,HABITUAL (compound tense),HABITUAL,ASPECT,riku-su-q ka-nki,see-INV-AGENT be-2SUBJ,'He used to see you.',Adelaar 2020: 998,example from Ayacucho Quechua; exists in other varieties too; COP is zero for 3rd person (minimal case measured),3,4,3,4,4,4,3,1,1,1,1,1,1,1,1,0
,1014,other sources,Handbook,Adelaar,South America,South America,Quechuan,quec1388,quy,Quechua,Quechua II,,-sqa,non-agentive NOMINALIZER (PAST participle) ,NOMINALIZER,WORD CLASS CHANGE,-sqa,NARRATIVE PAST (with a mirative overtone),PAST,TENSE,čay sipas-ta muča-sqa-ni,that girl-ACC kiss-NARRATIVE-1SUBJ,'I kissed that girl [I mistook her for another].',Adelaar 2020: 999,example from Ayacucho Quechua,3,2,4,3,4,4,1,1,0,0,0,0,1,0,0,0
